full_title,date
#Florida governor declares state of emergency as TS #Debby pounds state.,2012
"Obama ""pleased"" Supreme Court has struck down parts of #Arizona immigration law.",2012
TS #Debby forecast to soak Florida as it crosses state.,2012
Romney: Obama has failed to show leadership on immigration.,2012
#Arizona Sheriff Arpaio: We'll continue to enforce laws,2012
#Arizona senators say key part of immigration law remains in place.,2012
"Arizona Gov. Jan Brewer calls immigration ruling ""victory for the rule of law.""",2012
Supreme Court will not rule on challenge to health care reform law today.,2012
Court rules government has right to block Arizona from holding suspected illegal immigrants.,2012
"Supreme Court upholds some parts of #Arizona immigration law, rejects others.",2012
Supreme Court rules juveniles sentenced to life have right to seek parole.,2012
Tropical Storm Debby churns in Gulf of Mexico,2012
Saudi Arabia to let its female athletes compete in the Olympics for the first time,2012
'Obamacare:' The word that defined the health care debate,2012
"2 tornadoes tied to #Tropical_Storm_Debby struck central Florida's Highland County, killing 1 person.",2012
High winds from #Tropical_Storm_Debby force the closure of Florida's Sunshine Skyway bridge.,2012
#Alex_Trebek suffers mild heart attack.,2012
"Egyptian President-Elect Mohamed #Morsi thanked ""martyrs"" who led the revolution that helped oust Mubarak.",2012
"U.S. condemns #Syria downing of Turkish fighter jet as ""brazen and unacceptable act.""",2012
Louisiana governor declares state of emergency as Tropical Storm Debby approaches.,2012
Muslim Brotherhood-backed candidate Mohamed Morsi wins #Egypt presidential election.,2012
Turkey calls the shooting down of its jet fighter by Syria a hostile act.,2012
"Turkey finds jet shot down by Syria, TV reports.",2012
